datetime,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
2020-02-17 14,19.0,0.0,9.4,10.0,27.2,42.59,2.0
2020-02-17 15,19.0,0.0,7.6,10.0,27.2,39.7,2.0
2020-02-17 16,18.0,0.0,11.1,10.0,26.9,45.27,2.0
2020-02-17 17,18.0,0.0,12.9,10.0,27.0,48.39,2.0
2020-02-17 18,16.0,0.0,11.2,10.0,27.0,51.52,2.0
2020-02-17 19,15.0,0.0,9.4,10.0,26.9,51.54,2.0
2020-02-17 20,14.0,0.0,11.1,10.0,27.0,67.19,2.0
2020-02-17 21,13.0,0.0,7.6,10.0,27.0,71.71,2.0
2020-02-17 22,12.9,0.0,11.1,10.0,26.9,71.94,2.0
2020-02-17 23,12.0,0.0,9.3,10.0,27.2,81.88,2.0
2020-02-18 00,11.0,0.0,3.6,10.0,27.2,81.78,2.0
2020-02-18 03,10.0,0.0,3.7,8.0,27.2,81.68,2.0
2020-02-18 04,6.9,0.2,1.8,8.0,26.9,87.24,5.0
2020-02-18 05,10.0,0.0,1.8,8.0,27.2,87.41,2.0
2020-02-18 06,9.0,0.0,7.5,10.0,27.2,87.32,2.0
2020-02-18 07,9.0,0.0,3.7,9.9,27.0,87.43,2.0
2020-02-18 08,9.0,0.0,11.1,10.0,27.3,81.49,2.0
2020-02-18 09,13.0,0.0,7.6,10.0,27.3,71.69,2.0
2020-02-18 10,15.0,0.0,13.0,10.0,27.5,67.55,2.0
2020-02-18 11,17.0,0.0,18.4,10.0,50.0,63.4,2.0
2020-02-18 12,17.0,0.0,25.9,10.0,67.7,59.28,2.0
2020-02-18 13,18.0,0.0,22.3,10.0,67.8,59.68,2.0
2020-02-18 16,17.0,0.0,24.1,10.0,67.9,59.43,2.0
2020-02-18 17,17.0,0.0,20.6,10.0,67.5,63.42,2.0
2020-02-18 18,16.0,0.0,16.6,10.0,50.0,67.61,2.0
2020-02-18 19,15.0,0.0,16.5,10.0,26.9,72.2,2.0
2020-02-18 20,14.0,0.0,18.4,10.0,27.3,76.84,2.0
2020-02-18 21,14.0,0.0,16.6,10.0,27.3,76.84,2.0
2020-02-18 22,14.0,0.0,25.7,10.0,26.9,72.1,2.0
2020-02-18 23,13.0,0.0,16.6,10.0,27.3,76.68,2.0
2020-02-19 00,13.0,0.0,18.4,10.0,27.3,76.65,2.0
2020-02-19 03,12.0,0.0,18.4,10.0,27.2,76.46,2.0
2020-02-19 04,12.0,0.0,16.5,10.0,26.9,76.7,2.0
2020-02-19 05,11.0,0.0,18.4,10.0,27.3,76.27,2.0
2020-02-19 06,11.0,0.0,13.0,10.0,27.3,81.59,2.0
2020-02-19 07,12.0,0.0,13.0,10.0,35.6,76.66,2.0
2020-02-19 08,12.0,0.0,11.2,10.0,27.3,71.39,2.0
2020-02-19 09,14.0,0.0,14.8,10.0,27.3,62.64,2.0
2020-02-19 10,15.0,0.0,20.5,10.0,27.8,58.96,2.0
2020-02-19 11,16.0,0.0,31.7,10.0,36.1,55.08,2.0
2020-02-19 12,16.0,0.0,31.7,10.0,36.1,51.43,2.0
2020-02-19 13,17.0,0.0,24.2,10.0,35.8,48.32,2.0
2020-02-19 14,17.0,0.0,27.7,10.0,36.0,48.33,2.0
2020-02-19 15,16.0,0.0,27.8,10.0,36.1,51.4,2.0
2020-02-19 16,16.0,0.0,24.1,10.0,35.8,51.48,2.0
2020-02-19 17,15.0,0.0,20.6,10.0,36.1,51.19,2.0
2020-02-19 18,14.1,0.0,35.0,10.0,49.9,54.6,2.0
2020-02-19 19,14.0,0.0,24.1,10.0,35.8,54.66,2.0
2020-02-19 20,13.0,0.0,25.9,10.0,36.1,62.43,2.0
2020-02-19 21,13.0,0.0,22.3,10.0,36.1,62.43,2.0
2020-02-19 22,13.0,0.0,20.5,10.0,35.6,62.64,2.0
2020-02-19 23,13.0,0.0,24.1,10.0,36.1,62.43,2.0
2020-02-20 00,13.0,0.0,16.6,10.0,36.1,62.43,2.0
2020-02-20 03,13.0,0.0,18.4,10.0,36.1,66.91,2.0
2020-02-20 04,12.0,0.0,14.8,10.0,35.6,71.57,2.0
2020-02-20 05,12.0,0.0,11.2,10.0,36.1,71.42,2.0
